faq_id,category,question_text,answer_text
dp_faq_751,"Company Specifics & Policies","Kya aapke paas delivery ke alawa koi aur job hai?","Hummare pass delivery job hain, humaare paas dark store/warehouse jaisi fixed salary jobs bhi hain"
dp_faq_752,"Company Specifics & Policies","Aapke paas kaunse job hain?","Humaare pass Food aur Grocery delivery jobs hain jaise - Swiggy, Zomato, Zepto"
dp_faq_753,"Earnings & Payment","Per order kitna milta hai?","Per order company par depend karta hai, 20 से 25 rupay milta hai aur extra kilometers ka incentive upar se mil sakta hai"
dp_faq_754,"Earnings & Payment","Weekly kitna earning hota hai?","Weekly 5000 से 6000 rupay tak ka earning hota hai"
dp_faq_755,"Earnings & Payment","Monthly kitna earning hota hai?","Monthly 20 से 30 hazaar tak ka earning hoga"
dp_faq_755,"Earnings & Payment","kitna paisa milega","Monthly 20 से 30 hazaar tak ka earning hoga"
dp_faq_756,"Earnings & Payment","Incentive kitna milega?","Shift aur kilometers ke hisaab se aapko incentive milega; Saturday Sunday ka bhi incentive milega. Iske alava salary aapka 20 से 30 Hazaar ho sakta hai"
dp_faq_757,"Company Specifics & Policies","Sabse acha company kaunsa hai?","Ji, ye to aapki preference par nirbhar karta hai."
dp_faq_758,"Work Hours & Flexibility","Kitne ghante kaam karna padega?","Full time mein aapko 10 ghante, part time mein 4 से 5 ghante kaam karna padta hai"
dp_faq_759,"Joining Process & Fees","Joining fees dena hoga kya?","Aam tor par aisi koi fees nahi hoti hai."
dp_faq_760,"About the Job & Work","Kitna kilometers jaana hoga delivery ke liye?","Delivery 4 kilometers ke radius mein jana hoga, upar se extra kilometers ka incentive milega"
dp_faq_761,"About the Job & Work","Har ghante kitne orders milenge?","Har ghante aapko 2 से 5 order mil sakte hain."
dp_faq_762,"Company Specifics & Policies","Customer ne order cancel kiya toh kya karna hoga?","Iske baare mein mere supervisor aapko aur details bata denge"
dp_faq_763,"Requirements (Vehicle & Documents)","Mere paas bike nahi hai","Koi baat nahi, apke sheher mein Yulu rental bike ka option hai. Aap voh rent kar sakte hain"
dp_faq_764,"Requirements (Vehicle & Documents)","Mere paas DL ya driver license nahi hai","Aap electric bike bhi use kar sakte hain aur job start kar sakte hain"
dp_faq_751,"Company Specifics & Policies","Do you have any jobs other than delivery?","We have delivery jobs, and we also have fixed salary jobs like dark store/warehouse positions."
dp_faq_752,"Company Specifics & Policies","What kind of jobs?","We have Food and Grocery delivery jobs with companies like Swiggy, Zomato, and Zepto."
dp_faq_753,"Earnings & Payment","How much do I get per order?","The pay per order depends on the company; you can get 20 to 25 rupay, and you might also receive an incentive for extra kilometers."
dp_faq_754,"Earnings & Payment","What are the weekly earnings?","Weekly earnings can be up to 5000 से 6000 rupay."
dp_faq_755,"Earnings & Payment","What are the monthly earnings?","Monthly earnings will be around 20 से 25 hazaar for full time."
dp_faq_756,"Earnings & Payment","How much incentive will I get?","You will receive incentives based on your shift and kilometers; you will also get incentives for Saturdays and Sundays."
dp_faq_757,"Company Specifics & Policies","Which is the best company?","it depends on your preference. but we have good companies like, swiggy, zomato, blinkit"
dp_faq_758,"Work Hours & Flexibility","How many hours do I have to work?","For full-time, you have to work 10 hours, and for part-time, you have to work 4 to 5 hours."
dp_faq_759,"Joining Process & Fees","Do I have to pay joining fees?","Generally, there are no such fees."
dp_faq_760,"About the Job & Work","How many kilometers do I have to travel for delivery?","You will have to deliver within a 4 kilometers radius, and you will get an incentive for extra kilometers on top of that."
dp_faq_761,"About the Job & Work","How many orders will I get per hour?","You will get around 2 to 5 orders per hour"
